repeat,severity,classifier,mode,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
0,0.2,random_forest,source,0.1389955628101387,0.005,1.0,143.4123445495655,180.0,1.5798413719070024,1.0
0,0.2,random_forest,target,0.10726514824664446,0.02,1.0,180.0,142.311900137156,1.0,1.6772021907169885
0,0.2,random_forest,both,0.09599453859147683,0.145,0.0,143.4123445495655,142.311900137156,1.5798413719070024,1.6772021907169885
0,0.2,random_forest,crump,0.08703495406148815,0.395,0.0,146.0,145.0,1.0,1.0
0,0.2,random_forest,overlap,0.09027497059390475,0.28,0.0,148.97427177097447,145.17979926174883,0.2499996098565792,0.24999999984602667
0,0.2,hist_gbm,unweighted,0.14746522347965252,0.005,1.0,180.0,180.0,1.0,1.0
0,0.2,hist_gbm,source,0.1404535465707183,0.005,1.0,136.53155020528362,180.0,2.1352998491009445,1.0
0,0.2,hist_gbm,target,0.10558346189976736,0.03,1.0,180.0,128.7934914953409,1.0,2.886769931611381
0,0.2,hist_gbm,both,0.09656952156009879,0.16,0.0,136.53155020528362,128.7934914953409,2.1352998491009445,2.886769931611381
0,0.2,hist_gbm,crump,0.09148782017879949,0.225,0.0,150.0,145.0,1.0,1.0
0,0.2,hist_gbm,overlap,0.09913803090192053,0.11,0.0,154.99631838445544,142.69106281522656,0.24998667785054982,0.24998667785054982
0,0.3,logistic,unweighted,0.1764043314662399,0.005,1.0,180.0,180.0,1.0,1.0
0,0.3,logistic,source,0.14513746001235017,0.005,1.0,140.83655477686213,180.0,2.051393279627821,1.0
0,0.3,logistic,target,0.12351888439696988,0.005,1.0,180.0,143.01827791393285,1.0,2.16837418470156
0,0.3,logistic,both,0.08772898158061743,0.405,0.0,140.83655477686213,143.01827791393285,2.051393279627821,2.16837418470156
0,0.3,logistic,crump,0.1634993541284254,0.005,1.0,171.0,171.0,1.0,1.0
0,0.3,logistic,overlap,0.1394549122465043,0.005,1.0,166.04164349164537,165.52853308739205,0.24999940681768595,0.24999764349712741
0,0.3,random_forest,unweighted,0.1764043314662399,0.005,1.0,180.0,180.0,1.0,1.0
0,0.3,random_forest,source,0.16093825398651307,0.005,1.0,115.52204531946512,180.0,1.9798722615503404,1.0
0,0.3,random_forest,target,0.12217816178480684,0.005,1.0,180.0,126.42844694388296,1.0,1.9961161888105023
0,0.3,random_forest,both,0.1006196851469199,0.15,0.0,115.52204531946512,126.42844694388296,1.9798722615503404,1.9961161888105023
0,0.3,random_forest,crump,0.09963648686296178,0.11,0.0,116.0,129.0,1.0,1.0
0,0.3,random_forest,overlap,0.09587480480950432,0.21,0.0,121.29986754673759,130.66530395914228,0.2499999815338848,0.2499999815338848
0,0.3,hist_gbm,unweighted,0.1764043314662399,0.005,1.0,180.0,180.0,1.0,1.0
0,0.3,hist_gbm,source,0.15952655786123704,0.005,1.0,109.8412799489056,180.0,3.0619530674683184,1.0
0,0.3,hist_gbm,target,0.11760641237278951,0.005,1.0,180.0,113.96776631003804,1.0,2.6895646833669
0,0.3,hist_gbm,both,0.09421415045671888,0.275,0.0,109.8412799489056,113.96776631003804,3.0619530674683184,2.6895646833669
0,0.3,hist_gbm,crump,0.09164422108990984,0.33,0.0,123.0,133.0,1.0,1.0
0,0.3,hist_gbm,overlap,0.09766187553993266,0.165,0.0,126.11769901961841,129.52603013686058,0.24999727367533028,0.24999727367533028
0,0.4,logistic,unweighted,0.20121852709190674,0.005,1.0,180.0,180.0,1.0,1.0
0,0.4,logistic,source,0.16336827576759855,0.005,1.0,125.10841946317412,180.0,2.358528469551592,1.0
0,0.4,logistic,target,0.13348730640408235,0.005,1.0,180.0,129.11427535512095,1.0,2.3662936923398448
0,0.4,logistic,both,0.08572777483764177,0.445,0.0,125.10841946317412,129.11427535512095,2.358528469551592,2.3662936923398448
0,0.4,logistic,crump,0.15640198271283057,0.005,1.0,149.0,147.0,1.0,1.0
0,0.4,logistic,overlap,0.14519693041331555,0.005,1.0,154.99491260770554,155.88073675770914,0.24999023852534782,0.24999978384806135
0,0.4,random_forest,unweighted,0.20121852709190674,0.005,1.0,180.0,180.0,1.0,1.0
0,0.4,random_forest,source,0.1785996140987832,0.005,1.0,96.56896366040262,180.0,2.4756277381242193,1.0
0,0.4,random_forest,target,0.1378015851337861,0.005,1.0,180.0,108.37754232959568,1.0,2.157170260347016
0,0.4,random_forest,both,0.10288013576951963,0.125,0.0,96.56896366040262,108.37754232959568,2.4756277381242193,2.157170260347016
0,0.4,random_forest,crump,0.08596219306871977,0.445,0.0,96.0,111.0,1.0,1.0
0,0.4,random_forest,overlap,0.08862862460246142,0.39,0.0,100.50962555972127,112.47377202798523,0.24999736527290095,0.24999567845888468
0,0.4,hist_gbm,unweighted,0.20121852709190674,0.005,1.0,180.0,180.0,1.0,1.0
0,0.4,hist_gbm,source,0.1808612120317819,0.005,1.0,95.49140338665966,180.0,3.2206639718949623,1.0
0,0.4,hist_gbm,target,0.13919556029903954,0.005,1.0,180.0,98.88289742242003,1.0,3.0574991572360863
0,0.4,hist_gbm,both,0.1079009863289255,0.06,0.0,95.49140338665966,98.88289742242003,3.2206639718949623,3.0574991572360863
0,0.4,hist_gbm,crump,0.08371646386183251,0.6,0.0,98.0,109.0,1.0,1.0
0,0.4,hist_gbm,overlap,0.09653208475282635,0.22,0.0,106.72843175938563,112.47401917140955,0.24999765246310515,0.24999765246310515
1,0.0,logistic,unweighted,0.09928586343545191,0.105,0.0,180.0,180.0,1.0,1.0
1,0.0,logistic,source,0.09571759195127334,0.17,0.0,179.15139317997603,180.0,1.2087666240637156,1.0
1,0.0,logistic,target,0.09284997531914543,0.28,0.0,180.0,178.91452781299887,1.0,1.2140604455048987
1,0.0,logistic,both,0.08938270658272097,0.355,0.0,179.15139317997603,178.91452781299887,1.2087666240637156,1.2140604455048987
1,0.0,logistic,crump,0.09928586343545191,0.105,0.0,180.0,180.0,1.0,1.0
1,0.0,logistic,overlap,0.09957947338415439,0.11,0.0,179.98929826449555,179.9865699808595,0.2499999525862191,0.24999998922974612
1,0.0,random_forest,unweighted,0.09928586343545191,0.105,0.0,180.0,180.0,1.0,1.0
1,0.0,random_forest,source,0.0999986248666234,0.095,0.0,174.81620783525537,180.0,1.4990329314117106,1.0
1,0.0,random_forest,target,0.08272754318866501,0.605,0.0,180.0,164.36522873709788,1.0,1.486358722667814
1,0.0,random_forest,both,0.08343283148768998,0.6,0.0,174.81620783525537,164.36522873709788,1.4990329314117106,1.486358722667814
1,0.0,random_forest,crump,0.09928586343545191,0.105,0.0,180.0,180.0,1.0,1.0
1,0.0,random_forest,overlap,0.09115244360345828,0.325,0.0,179.60272749288453,175.04664437277245,0.24999744638580876,0.24999744638580876
1,0.0,hist_gbm,unweighted,0.09928586343545191,0.105,0.0,180.0,180.0,1.0,1.0
1,0.0,hist_gbm,source,0.0962620714273949,0.185,0.0,161.22117554192425,180.0,1.7947213117122855,1.0
1,0.0,hist_gbm,target,0.08842763922290045,0.41,0.0,180.0,160.9328653281026,1.0,1.8647856929583115
1,0.0,hist_gbm,both,0.0856926922309309,0.525,0.0,161.22117554192425,160.9328653281026,1.7947213117122855,1.8647856929583115
1,0.0,hist_gbm,crump,0.09928586343545191,0.105,0.0,180.0,180.0,1.0,1.0
1,0.0,hist_gbm,overlap,0.09534626336537008,0.195,0.0,176.98644328480628,176.6874252969235,0.24999886798064805,0.24999886798064805
1,0.1,logistic,unweighted,0.1377211905578418,0.005,1.0,180.0,180.0,1.0,1.0
1,0.1,logistic,source,0.11769749285703088,0.005,1.0,163.4227662407373,180.0,1.762743090298216,1.0
1,0.1,logistic,target,0.10485404744754497,0.04,1.0,180.0,162.56076263451612,1.0,1.7522461189994678
1,0.1,logistic,both,0.08456477540574067,0.6,0.0,163.4227662407373,162.56076263451612,1.762743090298216,1.7522461189994678
1,0.1,logistic,crump,0.1377211905578418,0.005,1.0,180.0,180.0,1.0,1.0
