repeat,effect_size,severity,mode,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
4,0.45,0.25,both,0.1142111473714622,0.006,1.0,148.7931922528914,145.42534974499708,2.020547454982799,1.9971528138798347
4,0.45,0.25,crump,0.1901867278147214,0.002,1.0,175.0,178.0,1.0,1.0
4,0.6,0.25,unweighted,0.20337950198140525,0.002,1.0,180.0,180.0,1.0,1.0
4,0.6,0.25,source,0.17942662931303302,0.002,1.0,148.7931922528914,180.0,2.020547454982799,1.0
4,0.6,0.25,target,0.15418553949119285,0.002,1.0,180.0,145.42534974499708,1.0,1.9971528138798347
4,0.6,0.25,both,0.12496063747705574,0.002,1.0,148.7931922528914,145.42534974499708,2.020547454982799,1.9971528138798347
4,0.6,0.25,crump,0.199782502309431,0.002,1.0,175.0,178.0,1.0,1.0
5,0.0,0.25,unweighted,0.1530570092211553,0.002,1.0,180.0,180.0,1.0,1.0
5,0.0,0.25,source,0.1235404420136823,0.004,1.0,150.0463687150362,180.0,1.9663954116768043,1.0
5,0.0,0.25,target,0.10913006591274896,0.01,1.0,180.0,150.49008630196622,1.0,1.9111486571274556
5,0.0,0.25,both,0.0783096166883887,0.714,0.0,150.0463687150362,150.49008630196622,1.9663954116768043,1.9111486571274556
5,0.0,0.25,crump,0.15258052459206564,0.002,1.0,179.0,180.0,1.0,1.0
5,0.15,0.25,unweighted,0.16152794257735104,0.002,1.0,180.0,180.0,1.0,1.0
5,0.15,0.25,source,0.1315285187866149,0.002,1.0,150.0463687150362,180.0,1.9663954116768043,1.0
5,0.15,0.25,target,0.11846185783178828,0.004,1.0,180.0,150.49008630196622,1.0,1.9111486571274556
5,0.15,0.25,both,0.08677407785106848,0.412,0.0,150.0463687150362,150.49008630196622,1.9663954116768043,1.9111486571274556
5,0.15,0.25,crump,0.16105525758808675,0.002,1.0,179.0,180.0,1.0,1.0
5,0.3,0.25,unweighted,0.1700550020957171,0.002,1.0,180.0,180.0,1.0,1.0
5,0.3,0.25,source,0.1398134803489835,0.002,1.0,150.0463687150362,180.0,1.9663954116768043,1.0
5,0.3,0.25,target,0.12810715814666918,0.002,1.0,180.0,150.49008630196622,1.0,1.9111486571274556
5,0.3,0.25,both,0.0958948845372515,0.152,0.0,150.0463687150362,150.49008630196622,1.9663954116768043,1.9111486571274556
5,0.3,0.25,crump,0.16958878106420558,0.002,1.0,179.0,180.0,1.0,1.0
5,0.45,0.25,unweighted,0.17898376581313824,0.002,1.0,180.0,180.0,1.0,1.0
5,0.45,0.25,source,0.14858176081131644,0.002,1.0,150.0463687150362,180.0,1.9663954116768043,1.0
5,0.45,0.25,target,0.13816623402343386,0.002,1.0,180.0,150.49008630196622,1.0,1.9111486571274556
5,0.45,0.25,both,0.10543118484527521,0.028,1.0,150.0463687150362,150.49008630196622,1.9663954116768043,1.9111486571274556
5,0.45,0.25,crump,0.17852567409025183,0.002,1.0,179.0,180.0,1.0,1.0
5,0.6,0.25,unweighted,0.18808886507392164,0.002,1.0,180.0,180.0,1.0,1.0
5,0.6,0.25,source,0.15760822836574584,0.002,1.0,150.0463687150362,180.0,1.9663954116768043,1.0
5,0.6,0.25,target,0.14854361545459066,0.002,1.0,180.0,150.49008630196622,1.0,1.9111486571274556
5,0.6,0.25,both,0.11537350387464115,0.006,1.0,150.0463687150362,150.49008630196622,1.9663954116768043,1.9111486571274556
5,0.6,0.25,crump,0.1876395827110946,0.002,1.0,179.0,180.0,1.0,1.0
6,0.0,0.25,unweighted,0.16349838153482701,0.002,1.0,180.0,180.0,1.0,1.0
6,0.0,0.25,source,0.1282290817392423,0.002,1.0,139.88429679282217,180.0,2.1951270105871132,1.0
6,0.0,0.25,target,0.11233306087264612,0.002,1.0,180.0,145.53747093697905,1.0,2.113331854383976
6,0.0,0.25,both,0.07450622546867748,0.844,0.0,139.88429679282217,145.53747093697905,2.1951270105871132,2.113331854383976
6,0.0,0.25,crump,0.1508907540158462,0.002,1.0,168.0,173.0,1.0,1.0
6,0.15,0.25,unweighted,0.17196844040542603,0.002,1.0,180.0,180.0,1.0,1.0
6,0.15,0.25,source,0.13602833254815333,0.002,1.0,139.88429679282217,180.0,2.1951270105871132,1.0
6,0.15,0.25,target,0.12192139966097565,0.002,1.0,180.0,145.53747093697905,1.0,2.113331854383976
6,0.15,0.25,both,0.08266117089839582,0.608,0.0,139.88429679282217,145.53747093697905,2.1951270105871132,2.113331854383976
6,0.15,0.25,crump,0.15972301339392994,0.002,1.0,168.0,173.0,1.0,1.0
6,0.3,0.25,unweighted,0.18008468507087336,0.002,1.0,180.0,180.0,1.0,1.0
6,0.3,0.25,source,0.14347052795458576,0.002,1.0,139.88429679282217,180.0,2.1951270105871132,1.0
6,0.3,0.25,target,0.13119521535352227,0.002,1.0,180.0,145.53747093697905,1.0,2.113331854383976
6,0.3,0.25,both,0.09060209801257119,0.318,0.0,139.88429679282217,145.53747093697905,2.1951270105871132,2.113331854383976
6,0.3,0.25,crump,0.1681841961742262,0.002,1.0,168.0,173.0,1.0,1.0
6,0.45,0.25,unweighted,0.18811077960676725,0.002,1.0,180.0,180.0,1.0,1.0
6,0.45,0.25,source,0.15112627368417655,0.002,1.0,139.88429679282217,180.0,2.1951270105871132,1.0
6,0.45,0.25,target,0.1403421258033439,0.002,1.0,180.0,145.53747093697905,1.0,2.113331854383976
6,0.45,0.25,both,0.09877341144519623,0.12,0.0,139.88429679282217,145.53747093697905,2.1951270105871132,2.113331854383976
6,0.45,0.25,crump,0.17655833909511143,0.002,1.0,168.0,173.0,1.0,1.0
6,0.6,0.25,unweighted,0.19699351566072243,0.002,1.0,180.0,180.0,1.0,1.0
6,0.6,0.25,source,0.15997869344187537,0.002,1.0,139.88429679282217,180.0,2.1951270105871132,1.0
6,0.6,0.25,target,0.15071264231721757,0.002,1.0,180.0,145.53747093697905,1.0,2.113331854383976
6,0.6,0.25,both,0.10840792204349514,0.014,1.0,139.88429679282217,145.53747093697905,2.1951270105871132,2.113331854383976
6,0.6,0.25,crump,0.18590137112568217,0.002,1.0,168.0,173.0,1.0,1.0
7,0.0,0.25,unweighted,0.16785621475384851,0.002,1.0,180.0,180.0,1.0,1.0
7,0.0,0.25,source,0.13069930119778475,0.002,1.0,139.86347568446084,180.0,2.0555783694027983,1.0
7,0.0,0.25,target,0.11354373714956417,0.004,1.0,180.0,143.28921852398273,1.0,2.074580151542966
7,0.0,0.25,both,0.07128797074318695,0.912,0.0,139.86347568446084,143.28921852398273,2.0555783694027983,2.074580151542966
7,0.0,0.25,crump,0.15708017795353435,0.002,1.0,170.0,175.0,1.0,1.0
7,0.15,0.25,unweighted,0.17524263736473097,0.002,1.0,180.0,180.0,1.0,1.0
7,0.15,0.25,source,0.1364301586483262,0.002,1.0,139.86347568446084,180.0,2.0555783694027983,1.0
7,0.15,0.25,target,0.12221866634417833,0.002,1.0,180.0,143.28921852398273,1.0,2.074580151542966
7,0.15,0.25,both,0.07774378673908594,0.78,0.0,139.86347568446084,143.28921852398273,2.0555783694027983,2.074580151542966
7,0.15,0.25,crump,0.16444243086854116,0.002,1.0,170.0,175.0,1.0,1.0
7,0.3,0.25,unweighted,0.184875042866941,0.002,1.0,180.0,180.0,1.0,1.0
7,0.3,0.25,source,0.14352177241831077,0.002,1.0,139.86347568446084,180.0,2.0555783694027983,1.0
7,0.3,0.25,target,0.1334101863283012,0.002,1.0,180.0,143.28921852398273,1.0,2.074580151542966
7,0.3,0.25,both,0.08566940445567625,0.486,0.0,139.86347568446084,143.28921852398273,2.0555783694027983,2.074580151542966
7,0.3,0.25,crump,0.17383709109941553,0.002,1.0,170.0,175.0,1.0,1.0
7,0.45,0.25,unweighted,0.1935110310928212,0.002,1.0,180.0,180.0,1.0,1.0
7,0.45,0.25,source,0.15059562205071358,0.002,1.0,139.86347568446084,180.0,2.0555783694027983,1.0
7,0.45,0.25,target,0.14382226019123237,0.002,1.0,180.0,143.28921852398273,1.0,2.074580151542966
7,0.45,0.25,both,0.09393808691656669,0.202,0.0,139.86347568446084,143.28921852398273,2.0555783694027983,2.074580151542966
7,0.45,0.25,crump,0.18254644529091912,0.002,1.0,170.0,175.0,1.0,1.0
7,0.6,0.25,unweighted,0.20210086114921508,0.002,1.0,180.0,180.0,1.0,1.0
7,0.6,0.25,source,0.15828323241597206,0.002,1.0,139.86347568446084,180.0,2.0555783694027983,1.0
7,0.6,0.25,target,0.15410604894063978,0.002,1.0,180.0,143.28921852398273,1.0,2.074580151542966
7,0.6,0.25,both,0.10268323376811077,0.068,0.0,139.86347568446084,143.28921852398273,2.0555783694027983,2.074580151542966
7,0.6,0.25,crump,0.19129413509348372,0.002,1.0,170.0,175.0,1.0,1.0
8,0.0,0.25,unweighted,0.17935006763450695,0.002,1.0,180.0,180.0,1.0,1.0
8,0.0,0.25,source,0.14088466346039197,0.002,1.0,136.2859563127717,180.0,2.195935534678084,1.0
8,0.0,0.25,target,0.12255238654495389,0.002,1.0,180.0,137.0131619290751,1.0,2.422265838084075
8,0.0,0.25,both,0.0808396439331227,0.656,0.0,136.2859563127717,137.0131619290751,2.195935534678084,2.422265838084075
8,0.0,0.25,crump,0.15494739122039097,0.002,1.0,163.0,159.0,1.0,1.0
8,0.15,0.25,unweighted,0.18782684042066755,0.002,1.0,180.0,180.0,1.0,1.0
