severity,classifier,mode,count,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
0.1,logistic,source,40,0.10070571682574832,0.12849999999999998,0.35,171.54414100021603,180.0,1.4800700660975583,1.0
0.1,logistic,target,40,0.09353793136597535,0.25187499999999996,0.125,180.0,171.49516961977423,1.0,1.4985772409594174
0.1,logistic,unweighted,40,0.11376121894528275,0.026750000000000003,0.875,180.0,180.0,1.0,1.0
0.1,random_forest,both,40,0.08579680744908695,0.4807500000000001,0.0,159.70301542834622,158.4664779963186,1.499678405068017,1.526410017270919
0.1,random_forest,crump,40,0.08555665919834017,0.48362499999999997,0.0,164.225,162.85,1.0,1.0
0.1,random_forest,overlap,40,0.08578330194135389,0.48949999999999994,0.0,164.7273772414201,163.2005041360096,0.24999846506885465,0.24999803202883158
0.1,random_forest,source,40,0.10856729488355701,0.06037499999999999,0.625,159.70301542834622,180.0,1.499678405068017,1.0
0.1,random_forest,target,40,0.09175656584316338,0.3148749999999999,0.075,180.0,158.4664779963186,1.0,1.526410017270919
0.1,random_forest,unweighted,40,0.11376121894528275,0.026750000000000003,0.875,180.0,180.0,1.0,1.0
0.2,hist_gbm,both,40,0.08638135935063194,0.4776249999999999,0.0,132.24341247647087,129.30387049373434,2.3929710378728193,2.4953735947722686
0.2,hist_gbm,crump,40,0.08763796692960439,0.4415000000000001,0.075,146.15,143.625,1.0,1.0
0.2,hist_gbm,overlap,40,0.0912896313243243,0.3417500000000001,0.075,147.91166799075359,144.22918359540523,0.24999346069291276,0.24998945455722854
0.2,hist_gbm,source,40,0.1305796371768886,0.0077500000000000025,1.0,132.24341247647087,180.0,2.3929710378728193,1.0
0.2,hist_gbm,target,40,0.10597283722989989,0.08549999999999999,0.525,180.0,129.30387049373434,1.0,2.4953735947722686
0.2,hist_gbm,unweighted,40,0.14721848601108825,0.005000000000000003,1.0,180.0,180.0,1.0,1.0
0.2,logistic,both,40,0.08084440742127379,0.6372500000000001,0.0,155.7672467036189,155.654187564229,1.812314755396346,1.8523951235652105
0.2,logistic,crump,40,0.14576312360673752,0.005000000000000003,1.0,179.0,179.0,1.0,1.0
0.2,logistic,overlap,40,0.12650114772354953,0.006750000000000002,1.0,173.26887134192827,173.31928162216389,0.24999839253817707,0.2499967318621299
0.2,logistic,source,40,0.12342307993184991,0.013250000000000003,0.925,155.7672467036189,180.0,1.812314755396346,1.0
0.2,logistic,target,40,0.10553136731828357,0.064625,0.5,180.0,155.654187564229,1.0,1.8523951235652105
0.2,logistic,unweighted,40,0.14721848601108825,0.005000000000000003,1.0,180.0,180.0,1.0,1.0
0.2,random_forest,both,40,0.0877732557789313,0.43899999999999995,0.0,141.76550822165598,140.4719822741435,1.6938852063930914,1.7657233975909723
0.2,random_forest,crump,40,0.0873443601844702,0.44275000000000003,0.05,146.35,144.525,1.0,1.0
0.2,random_forest,overlap,40,0.08750592614667961,0.44037500000000007,0.0,146.79731507025738,144.85971889093707,0.24999739396723072,0.24999591315200337
0.2,random_forest,source,40,0.13333114895679002,0.007000000000000002,1.0,141.76550822165598,180.0,1.6938852063930914,1.0
0.2,random_forest,target,40,0.10509867115706162,0.08624999999999997,0.5,180.0,140.4719822741435,1.0,1.7657233975909723
0.2,random_forest,unweighted,40,0.14721848601108825,0.005000000000000003,1.0,180.0,180.0,1.0,1.0
0.3,hist_gbm,both,40,0.08581770752633812,0.49437500000000006,0.0,115.23792524294242,113.42067803196241,2.6901070992372316,2.7094853300644295
0.3,hist_gbm,crump,40,0.08895794069419119,0.40862499999999996,0.05,127.6,126.1,1.0,1.0
0.3,hist_gbm,overlap,40,0.09110863162339249,0.36362500000000003,0.125,128.9631394934311,126.07299029922531,0.2499808945193837,0.24997886689821666
0.3,hist_gbm,source,40,0.15527592343432048,0.005000000000000003,1.0,115.23792524294242,180.0,2.6901070992372316,1.0
0.3,hist_gbm,target,40,0.11970016290810033,0.016125000000000007,0.925,180.0,113.42067803196241,1.0,2.7094853300644295
0.3,hist_gbm,unweighted,40,0.1806818265841716,0.005000000000000003,1.0,180.0,180.0,1.0,1.0
0.3,logistic,both,40,0.08080607031045124,0.6333750000000001,0.0,137.15378970102515,136.88043947557884,2.1720490447511684,2.2254096184404557
0.3,logistic,crump,40,0.15788699211140347,0.005125000000000003,1.0,163.85,164.0,1.0,1.0
0.3,logistic,overlap,40,0.1388484446962001,0.005000000000000003,1.0,162.7803803942065,162.71929034658677,0.2499942186286106,0.24999722356429088
0.3,logistic,source,40,0.14745971868032434,0.005000000000000003,1.0,137.15378970102515,180.0,2.1720490447511684,1.0
0.3,logistic,target,40,0.11918988833441238,0.009625000000000005,1.0,180.0,136.88043947557884,1.0,2.2254096184404557
0.3,logistic,unweighted,40,0.1806818265841716,0.005000000000000003,1.0,180.0,180.0,1.0,1.0
0.3,random_forest,both,40,0.08737637642349694,0.45400000000000007,0.025,123.50409618390358,122.0459108905568,1.9779101575363351,2.026716800914775
0.3,random_forest,crump,40,0.08944562765074829,0.40125,0.05,127.7,126.475,1.0,1.0
0.3,random_forest,overlap,40,0.08829116562487657,0.438,0.05,128.45116722291306,126.4626519373847,0.24999236768738972,0.24999810313220686
0.3,random_forest,source,40,0.1576964033775906,0.005000000000000003,1.0,123.50409618390358,180.0,1.9779101575363351,1.0
0.3,random_forest,target,40,0.11962080182267187,0.015000000000000005,0.95,180.0,122.0459108905568,1.0,2.026716800914775
0.3,random_forest,unweighted,40,0.1806818265841716,0.005000000000000003,1.0,180.0,180.0,1.0,1.0
0.4,hist_gbm,both,40,0.08911275101590896,0.42887499999999984,0.025,98.94032290501731,97.4684011013737,3.1360386049295643,3.138244262154191
0.4,hist_gbm,crump,40,0.09043159636247587,0.37875000000000003,0.05,109.3,108.125,1.0,1.0
0.4,hist_gbm,overlap,40,0.09406902426124716,0.3045000000000001,0.1,111.0914575404727,108.65257568261646,0.24998263224798514,0.24997515819556898
0.4,hist_gbm,source,40,0.18125381583920583,0.005000000000000003,1.0,98.94032290501731,180.0,3.1360386049295643,1.0
0.4,hist_gbm,target,40,0.13805707183847654,0.005625000000000002,1.0,180.0,97.4684011013737,1.0,3.138244262154191
0.4,hist_gbm,unweighted,40,0.21327584116845752,0.005000000000000003,1.0,180.0,180.0,1.0,1.0
