repeat,experiment,lambda_value,mode,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
11,calibration,1.0,both,0.14696365169181527,0.002,1.0,180.0,180.0,1.0,1.0
11,power,-1.0,unweighted,0.1705015717878372,0.002,1.0,180.0,180.0,1.0,1.0
11,power,0.0,both,0.062274290555482226,0.986,0.0,126.07383432326819,119.61966482565956,3.486900399501429,3.638325218091271
11,power,0.25,both,0.08239627977485356,0.6,0.0,143.27380586341735,140.98662132664134,2.350868257423756,2.4085223760787295
11,power,0.5,both,0.10338493668093304,0.06,0.0,157.07190645516104,156.09641211954715,1.7564865594826053,1.7818044040542549
11,power,0.75,both,0.12906049278550252,0.002,1.0,170.10603725488448,169.5431651191922,1.3531813121254845,1.3637400873554382
11,power,1.0,both,0.1705015717878372,0.002,1.0,180.0,180.0,1.0,1.0
12,calibration,-1.0,unweighted,0.17922496665904586,0.002,1.0,180.0,180.0,1.0,1.0
12,calibration,0.0,both,0.04137013963826889,1.0,0.0,93.20729188883554,91.19722141742712,6.707830360179631,5.97922758726457
12,calibration,0.25,both,0.06232671776545448,0.986,0.0,120.6850544848474,120.45411192671281,3.302937533784046,3.1871915637644146
12,calibration,0.5,both,0.08434855122541463,0.562,0.0,138.82416950520883,140.04289765674702,2.1969133299345143,2.1606186094119804
12,calibration,0.75,both,0.11462548616802884,0.01,1.0,157.98255168099567,159.22595627603692,1.5662009983290544,1.5498368932004447
12,calibration,1.0,both,0.17922496665904586,0.002,1.0,180.0,180.0,1.0,1.0
12,power,-1.0,unweighted,0.20091573502514862,0.002,1.0,180.0,180.0,1.0,1.0
12,power,0.0,both,0.055903500814496326,0.994,0.0,93.20729188883554,91.19722141742712,6.707830360179631,5.97922758726457
12,power,0.25,both,0.081398924048977,0.638,0.0,120.6850544848474,120.45411192671281,3.302937533784046,3.1871915637644146
12,power,0.5,both,0.10613453583476759,0.036,1.0,138.82416950520883,140.04289765674702,2.1969133299345143,2.1606186094119804
12,power,0.75,both,0.137703709016089,0.002,1.0,157.98255168099567,159.22595627603692,1.5662009983290544,1.5498368932004447
12,power,1.0,both,0.2009157350251486,0.002,1.0,180.0,180.0,1.0,1.0
13,calibration,-1.0,unweighted,0.16051929679164761,0.002,1.0,180.0,180.0,1.0,1.0
13,calibration,0.0,both,0.03873859376599638,1.0,0.0,108.87533998860387,101.94659529069921,4.214059883816646,4.652511230795611
13,calibration,0.25,both,0.05511763372580099,1.0,0.0,128.14859872732458,126.10929590872247,2.6900649772482295,2.8202570707306442
13,calibration,0.5,both,0.07436046218659198,0.856,0.0,144.28725591933204,143.9939719220187,1.9607709987349347,2.0076752650191394
13,calibration,0.75,both,0.10213191195065568,0.066,0.0,161.92246221584358,161.79048244828894,1.4717177594417332,1.485633908048259
13,calibration,1.0,both,0.16051929679164761,0.002,1.0,180.0,180.0,1.0,1.0
13,power,-1.0,unweighted,0.18216901958542903,0.002,1.0,180.0,180.0,1.0,1.0
13,power,0.0,both,0.05405576966683648,0.998,0.0,108.87533998860387,101.94659529069921,4.214059883816646,4.652511230795611
13,power,0.25,both,0.07427332031051427,0.854,0.0,128.14859872732458,126.10929590872247,2.6900649772482295,2.8202570707306442
13,power,0.5,both,0.09623573374356872,0.172,0.0,144.28725591933204,143.9939719220187,1.9607709987349347,2.0076752650191394
13,power,0.75,both,0.1255985733512669,0.002,1.0,161.92246221584358,161.79048244828894,1.4717177594417332,1.485633908048259
13,power,1.0,both,0.18216901958542903,0.002,1.0,180.0,180.0,1.0,1.0
14,calibration,-1.0,unweighted,0.16128349241731443,0.002,1.0,180.0,180.0,1.0,1.0
14,calibration,0.0,both,0.03732692747879846,1.0,0.0,96.48914739646584,86.13882630826102,5.3953958422944,7.649205856638106
14,calibration,0.25,both,0.05524778889136028,0.992,0.0,122.12180348835035,124.99424371575238,3.0162898739844337,3.4210331012589603
14,calibration,0.5,both,0.07517630634404807,0.79,0.0,140.77926175724846,144.6821146984314,2.0912380188834234,2.1927733834766814
14,calibration,0.75,both,0.10332366733757721,0.052,0.0,159.91207073336895,162.6625956597006,1.523210943545515,1.5338109413660113
14,calibration,1.0,both,0.16128349241731443,0.002,1.0,180.0,180.0,1.0,1.0
14,power,-1.0,unweighted,0.18368444501600364,0.002,1.0,180.0,180.0,1.0,1.0
14,power,0.0,both,0.052302975807722814,0.988,0.0,96.48914739646584,86.13882630826102,5.3953958422944,7.649205856638106
14,power,0.25,both,0.07450676112863633,0.814,0.0,122.12180348835035,124.99424371575238,3.0162898739844337,3.4210331012589603
14,power,0.5,both,0.09738847652813556,0.138,0.0,140.77926175724846,144.6821146984314,2.0912380188834234,2.1927733834766814
14,power,0.75,both,0.1273892700024693,0.002,1.0,159.91207073336895,162.6625956597006,1.523210943545515,1.5338109413660113
14,power,1.0,both,0.18368444501600364,0.002,1.0,180.0,180.0,1.0,1.0
15,calibration,-1.0,unweighted,0.1763766813366865,0.002,1.0,180.0,180.0,1.0,1.0
15,calibration,0.0,both,0.03432001832141129,1.0,0.0,86.39730220124336,84.74725720223765,6.918365507701832,7.629764771036268
15,calibration,0.25,both,0.05577308236882321,0.996,0.0,116.63395785402946,119.69153243135833,3.3717672622091373,3.4874324015785327
15,calibration,0.5,both,0.07893140516961727,0.696,0.0,137.0952180794391,139.40701536325307,2.23476668822265,2.255354403242181
15,calibration,0.75,both,0.11077700442501645,0.014,1.0,157.44204373043905,158.69333783089473,1.5831960001966443,1.5799829983140319
15,calibration,1.0,both,0.1763766813366865,0.002,1.0,180.0,180.0,1.0,1.0
15,power,-1.0,unweighted,0.19718916704770614,0.002,1.0,180.0,180.0,1.0,1.0
15,power,0.0,both,0.04654451614306327,1.0,0.0,86.39730220124336,84.74725720223765,6.918365507701832,7.629764771036268
15,power,0.25,both,0.07317866528137318,0.86,0.0,116.63395785402946,119.69153243135833,3.3717672622091373,3.4874324015785327
15,power,0.5,both,0.0997898515014683,0.078,0.0,137.0952180794391,139.40701536325307,2.23476668822265,2.255354403242181
15,power,0.75,both,0.13369332947675386,0.002,1.0,157.44204373043905,158.69333783089473,1.5831960001966443,1.5799829983140319
15,power,1.0,both,0.19718916704770614,0.002,1.0,180.0,180.0,1.0,1.0
16,calibration,-1.0,unweighted,0.1614425449626581,0.002,1.0,180.0,180.0,1.0,1.0
16,calibration,0.0,both,0.032924655722778265,1.0,0.0,99.96886660690588,87.3961162265013,4.2383101956800395,8.922736051265433
16,calibration,0.25,both,0.05045900683977546,1.0,0.0,123.24621059308195,121.39018452962681,2.7488366392443147,3.5829843260416223
16,calibration,0.5,both,0.07055730174145644,0.91,0.0,140.86475033296594,140.8815017004826,2.008786286461676,2.2588007158055508
16,calibration,0.75,both,0.0991302030543206,0.108,0.0,158.75768059312546,160.07025666587504,1.5055395230476756,1.5685937089054356
16,calibration,1.0,both,0.1614425449626581,0.002,1.0,180.0,180.0,1.0,1.0
16,power,-1.0,unweighted,0.18455822759487883,0.002,1.0,180.0,180.0,1.0,1.0
16,power,0.0,both,0.04647985939301916,1.0,0.0,99.96886660690588,87.3961162265013,4.2383101956800395,8.922736051265433
16,power,0.25,both,0.06873171462615889,0.912,0.0,123.24621059308195,121.39018452962681,2.7488366392443147,3.5829843260416223
16,power,0.5,both,0.09221022106349087,0.274,0.0,140.86475033296594,140.8815017004826,2.008786286461676,2.2588007158055508
16,power,0.75,both,0.12295105431313474,0.002,1.0,158.75768059312546,160.07025666587504,1.5055395230476756,1.5685937089054356
16,power,1.0,both,0.18455822759487883,0.002,1.0,180.0,180.0,1.0,1.0
17,calibration,-1.0,unweighted,0.15762539151806126,0.002,1.0,180.0,180.0,1.0,1.0
17,calibration,0.0,both,0.03808267144243768,1.0,0.0,102.7268854864126,112.30413642192315,5.461865466964621,4.0111534968834315
17,calibration,0.25,both,0.05674009318226783,0.992,0.0,130.31347182059045,133.6475914957075,2.942172073909502,2.584271157288856
