repeat,scenario,mode,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
13,both_sides,target,0.10825259531867434,0.016,1.0,180.0,160.91641212441675,1.0,1.7949135089344286
13,both_sides,both,0.08296392774705838,0.576,0.0,158.17054881996182,160.91641212441675,1.749790993072763,1.7949135089344286
14,source_only,unweighted,0.0904469935985368,0.276,0.0,180.0,180.0,1.0,1.0
14,source_only,source,0.07623620884039714,0.816,0.0,171.57778742936614,180.0,1.3649767125450771,1.0
14,source_only,target,0.08019716114334638,0.702,0.0,180.0,175.80611274686544,1.0,1.479611018423809
14,source_only,both,0.0665255218782389,0.97,0.0,171.57778742936614,175.80611274686544,1.3649767125450771,1.479611018423809
14,target_only,unweighted,0.12916183222831884,0.002,1.0,180.0,180.0,1.0,1.0
14,target_only,source,0.11888255431467554,0.002,1.0,172.4249219576399,180.0,1.6716741256767784,1.0
14,target_only,target,0.09256146302908132,0.232,0.0,180.0,163.05131358381513,1.0,1.7537535200974157
14,target_only,both,0.08249481857678582,0.586,0.0,172.4249219576399,163.05131358381513,1.6716741256767784,1.7537535200974157
14,both_sides,unweighted,0.14775911065386377,0.002,1.0,180.0,180.0,1.0,1.0
14,both_sides,source,0.12829316780498234,0.002,1.0,155.00431653030424,180.0,1.6969641371255844,1.0
14,both_sides,target,0.09756290391750683,0.108,0.0,180.0,150.666768800929,1.0,2.0282756121880654
14,both_sides,both,0.07650341399519833,0.79,0.0,155.00431653030424,150.666768800929,1.6969641371255844,2.0282756121880654
15,source_only,unweighted,0.10788560147081239,0.014,1.0,180.0,180.0,1.0,1.0
15,source_only,source,0.08553337462444191,0.478,0.0,165.82231696869758,180.0,1.539924136576506,1.0
15,source_only,target,0.09368694546304038,0.21,0.0,180.0,174.15392665225872,1.0,1.3924763354337797
15,source_only,both,0.07199925002693944,0.912,0.0,165.82231696869758,174.15392665225872,1.539924136576506,1.3924763354337797
15,target_only,unweighted,0.12589627152873037,0.002,1.0,180.0,180.0,1.0,1.0
15,target_only,source,0.11859995162060014,0.006,1.0,176.1133949716034,180.0,1.4008335406602122,1.0
15,target_only,target,0.09999483090404035,0.074,0.0,180.0,170.6185723807722,1.0,1.4040134792721521
15,target_only,both,0.09263643273682368,0.212,0.0,176.1133949716034,170.6185723807722,1.4008335406602122,1.4040134792721521
15,both_sides,unweighted,0.13961087200884012,0.002,1.0,180.0,180.0,1.0,1.0
15,both_sides,source,0.11597139977231408,0.004,1.0,153.033301682084,180.0,1.8014982561558983,1.0
15,both_sides,target,0.09346712229908001,0.228,0.0,180.0,153.14019623066017,1.0,1.7501032818380335
15,both_sides,both,0.0690167266540097,0.932,0.0,153.033301682084,153.14019623066017,1.8014982561558983,1.7501032818380335
16,source_only,unweighted,0.11810767318244171,0.004,1.0,180.0,180.0,1.0,1.0
16,source_only,source,0.09180528540649366,0.28,0.0,161.3779445785866,180.0,1.642163409822781,1.0
16,source_only,target,0.10227501918389659,0.07,0.0,180.0,171.09984503161223,1.0,1.655201093705693
16,source_only,both,0.07720733055667978,0.806,0.0,161.3779445785866,171.09984503161223,1.642163409822781,1.655201093705693
16,target_only,unweighted,0.13529909788904132,0.002,1.0,180.0,180.0,1.0,1.0
16,target_only,source,0.1220788988652872,0.002,1.0,171.2977798057929,180.0,1.4877524694793354,1.0
16,target_only,target,0.10254294557304176,0.04,1.0,180.0,165.01736795679327,1.0,1.636588161186874
16,target_only,both,0.08928431031309117,0.332,0.0,171.2977798057929,165.01736795679327,1.4877524694793354,1.636588161186874
16,both_sides,unweighted,0.15820429336229233,0.002,1.0,180.0,180.0,1.0,1.0
16,both_sides,source,0.12806781048225224,0.002,1.0,148.33856480286127,180.0,1.8997220654396998,1.0
16,both_sides,target,0.1130393121749045,0.008,1.0,180.0,151.20522296851334,1.0,1.9641349986293037
16,both_sides,both,0.0800138048988863,0.676,0.0,148.33856480286127,151.20522296851334,1.8997220654396998,1.9641349986293037
17,source_only,unweighted,0.09972187357110196,0.06,0.0,180.0,180.0,1.0,1.0
17,source_only,source,0.07891141364357412,0.722,0.0,167.61710331738,180.0,1.5836344950541414,1.0
17,source_only,target,0.08694772440149709,0.406,0.0,180.0,173.81281136324301,1.0,1.5338976331569663
17,source_only,both,0.0673425134166376,0.96,0.0,167.61710331738,173.81281136324301,1.5836344950541414,1.5338976331569663
17,target_only,unweighted,0.12628849260783417,0.002,1.0,180.0,180.0,1.0,1.0
17,target_only,source,0.11463032148998023,0.006,1.0,174.67467559288647,180.0,1.466533741969338,1.0
