repeat,overlap_severity,mode,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
7,0.4,source,0.08738287713823915,0.475,0.0,163.62098411712728,180.0,1.671340515296934,1.0
7,0.4,target,0.0808186113162494,0.685,0.0,180.0,143.3860509598376,1.0,2.0289689529129875
7,0.4,both,0.06144000471028273,0.985,0.0,163.62098411712728,143.3860509598376,1.671340515296934,2.0289689529129875
7,0.4,crump,0.1088971549894435,0.005,1.0,179.0,180.0,1.0,1.0
7,0.4,overlap,0.09875845569616508,0.1,0.0,176.95122044477853,170.96348971144928,0.24999997612090377,0.24999510759311888
8,0.0,unweighted,0.08149465592135346,0.635,0.0,180.0,180.0,1.0,1.0
8,0.0,source,0.08269585238585983,0.59,0.0,179.9790468751109,180.0,1.0276435360739882,1.0
8,0.0,target,0.08213250083846217,0.61,0.0,180.0,179.98195327630967,1.0,1.0233956464885101
8,0.0,both,0.08333918785509344,0.57,0.0,179.9790468751109,179.98195327630967,1.0276435360739882,1.0233956464885101
8,0.0,crump,0.08149465592135346,0.635,0.0,180.0,180.0,1.0,1.0
8,0.0,overlap,0.081886102521216,0.635,0.0,179.99999575273404,179.99999682406641,0.2499999959668506,0.24999999999871247
8,0.1,unweighted,0.0912313471650663,0.27,0.0,180.0,180.0,1.0,1.0
8,0.1,source,0.08411914681146344,0.51,0.0,178.13860165829726,180.0,1.2780089107151495,1.0
8,0.1,target,0.08308738995723637,0.55,0.0,180.0,177.27583301885173,1.0,1.2828920219139115
8,0.1,both,0.0762233278412653,0.765,0.0,178.13860165829726,177.27583301885173,1.2780089107151495,1.2828920219139115
8,0.1,crump,0.0912313471650663,0.27,0.0,180.0,180.0,1.0,1.0
8,0.1,overlap,0.09085040051974855,0.285,0.0,179.96764303871595,179.89021100741326,0.24999991717478495,0.2499999667212763
8,0.2,unweighted,0.10212249180765126,0.045,1.0,180.0,180.0,1.0,1.0
8,0.2,source,0.0898584068581719,0.31,0.0,174.58266500724935,180.0,1.471395246797967,1.0
8,0.2,target,0.0848368176325946,0.525,0.0,180.0,169.81968669551839,1.0,1.4210561952558123
8,0.2,both,0.07334086151632062,0.865,0.0,174.58266500724935,169.81968669551839,1.471395246797967,1.4210561952558123
8,0.2,crump,0.10212249180765126,0.045,1.0,180.0,180.0,1.0,1.0
8,0.2,overlap,0.09890280816319229,0.09,0.0,179.73243037433193,178.92836153042754,0.2499945439603808,0.24999948731863392
8,0.3,unweighted,0.10969798239597622,0.025,1.0,180.0,180.0,1.0,1.0
8,0.3,source,0.0926736003453213,0.225,0.0,170.1970443872816,180.0,1.637227072621883,1.0
8,0.3,target,0.08485851301308411,0.49,0.0,180.0,159.35942345508604,1.0,1.6232734279987255
8,0.3,both,0.06935845179074643,0.91,0.0,170.1970443872816,159.35942345508604,1.637227072621883,1.6232734279987255
8,0.3,crump,0.10969798239597622,0.025,1.0,180.0,180.0,1.0,1.0
8,0.3,overlap,0.10295179849382669,0.06,0.0,179.13164673288435,176.79110198052047,0.2499988290719003,0.24999986783751943
8,0.4,unweighted,0.12145584228776102,0.005,1.0,180.0,180.0,1.0,1.0
8,0.4,source,0.09680778370050422,0.1,0.0,162.15475741709696,180.0,1.8789337275548015,1.0
8,0.4,target,0.08908357213858584,0.34,0.0,180.0,144.50916838702796,1.0,1.926332888528586
8,0.4,both,0.06713148803660593,0.96,0.0,162.15475741709696,144.50916838702796,1.8789337275548015,1.926332888528586
8,0.4,crump,0.12145584228776102,0.005,1.0,180.0,180.0,1.0,1.0
8,0.4,overlap,0.1093953817766905,0.02,1.0,177.190714658659,172.34533151334324,0.24999931108366027,0.24999332660441134
9,0.0,unweighted,0.07359866445663771,0.84,0.0,180.0,180.0,1.0,1.0
9,0.0,source,0.07175412581730603,0.89,0.0,179.70804145523482,180.0,1.1010329433542152,1.0
9,0.0,target,0.07094847676118284,0.9,0.0,180.0,179.70273397365185,1.0,1.1091824048672714
