repeat,effect_size,mode,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
3,0.6,overlap,0.1488407715926075,0.005,1.0,179.43734489224778,178.24611682692833,0.24999972239009804,0.24999969810338576
4,0.0,unweighted,0.08398088324950465,0.505,0.0,180.0,180.0,1.0,1.0
4,0.0,source,0.07396211203065174,0.85,0.0,174.00334915539457,180.0,1.4214909397422266,1.0
4,0.0,target,0.06629854827450987,0.95,0.0,180.0,166.78166494519243,1.0,1.61685951284489
4,0.0,both,0.057324901782572685,0.99,0.0,174.00334915539457,166.78166494519243,1.4214909397422266,1.61685951284489
4,0.0,crump,0.08398088324950465,0.505,0.0,180.0,180.0,1.0,1.0
4,0.0,overlap,0.08010167395054546,0.67,0.0,179.57427931694022,178.49858706265547,0.24999979881319234,0.24999536979122255
4,0.15,unweighted,0.09835216811461667,0.11,0.0,180.0,180.0,1.0,1.0
4,0.15,source,0.0873241606121421,0.395,0.0,174.00334915539457,180.0,1.4214909397422266,1.0
4,0.15,target,0.08131351411188864,0.625,0.0,180.0,166.78166494519243,1.0,1.61685951284489
4,0.15,both,0.07108244480203554,0.905,0.0,174.00334915539457,166.78166494519243,1.4214909397422266,1.61685951284489
4,0.15,crump,0.09835216811461667,0.11,0.0,180.0,180.0,1.0,1.0
4,0.15,overlap,0.09533466351213543,0.175,0.0,179.57427931694022,178.49858706265547,0.24999979881319234,0.24999536979122255
4,0.3,unweighted,0.11463727518670934,0.01,1.0,180.0,180.0,1.0,1.0
4,0.3,source,0.10286475268102332,0.065,0.0,174.00334915539457,180.0,1.4214909397422266,1.0
4,0.3,target,0.0986317838489118,0.105,0.0,180.0,166.78166494519243,1.0,1.61685951284489
4,0.3,both,0.08740529284587716,0.41,0.0,174.00334915539457,166.78166494519243,1.4214909397422266,1.61685951284489
4,0.3,crump,0.11463727518670934,0.01,1.0,180.0,180.0,1.0,1.0
4,0.3,overlap,0.11262779731003153,0.015,1.0,179.57427931694022,178.49858706265547,0.24999979881319234,0.24999536979122255
4,0.45,unweighted,0.13181169410150895,0.005,1.0,180.0,180.0,1.0,1.0
4,0.45,source,0.11935716752090392,0.01,1.0,174.00334915539457,180.0,1.4214909397422266,1.0
4,0.45,target,0.11733080039676301,0.015,1.0,180.0,166.78166494519243,1.0,1.61685951284489
4,0.45,both,0.10516253609858756,0.06,0.0,174.00334915539457,166.78166494519243,1.4214909397422266,1.61685951284489
4,0.45,crump,0.13181169410150895,0.005,1.0,180.0,180.0,1.0,1.0
4,0.45,overlap,0.13077061935181877,0.005,1.0,179.57427931694022,178.49858706265547,0.24999979881319234,0.24999536979122255
4,0.6,unweighted,0.14963153006401464,0.005,1.0,180.0,180.0,1.0,1.0
4,0.6,source,0.13691858146935548,0.005,1.0,174.00334915539457,180.0,1.4214909397422266,1.0
4,0.6,target,0.13721832277122592,0.005,1.0,180.0,166.78166494519243,1.0,1.61685951284489
4,0.6,both,0.12455728453263373,0.01,1.0,174.00334915539457,166.78166494519243,1.4214909397422266,1.61685951284489
4,0.6,crump,0.14963153006401464,0.005,1.0,180.0,180.0,1.0,1.0
4,0.6,overlap,0.14983976707209912,0.005,1.0,179.57427931694022,178.49858706265547,0.24999979881319234,0.24999536979122255
5,0.0,unweighted,0.09019567805974699,0.31,0.0,180.0,180.0,1.0,1.0
5,0.0,source,0.07870375034251403,0.745,0.0,172.75804774026744,180.0,1.4879853623327841,1.0
5,0.0,target,0.07269581812307194,0.915,0.0,180.0,164.34316123128417,1.0,1.5788045517963611
5,0.0,both,0.06235295689157215,0.99,0.0,172.75804774026744,164.34316123128417,1.4879853623327841,1.5788045517963611
5,0.0,crump,0.09019567805974699,0.31,0.0,180.0,180.0,1.0,1.0
5,0.0,overlap,0.08709873116030616,0.41,0.0,179.52302619978246,177.94789964735602,0.24999997645985683,0.2499999868991457
5,0.15,unweighted,0.10458446406797745,0.045,1.0,180.0,180.0,1.0,1.0
5,0.15,source,0.09203372223231324,0.275,0.0,172.75804774026744,180.0,1.4879853623327841,1.0
5,0.15,target,0.08778493085992004,0.395,0.0,180.0,164.34316123128417,1.0,1.5788045517963611
5,0.15,both,0.07615053682042278,0.845,0.0,172.75804774026744,164.34316123128417,1.4879853623327841,1.5788045517963611
5,0.15,crump,0.10458446406797745,0.045,1.0,180.0,180.0,1.0,1.0
5,0.15,overlap,0.10252591319282556,0.065,0.0,179.52302619978246,177.94789964735602,0.24999997645985683,0.2499999868991457
5,0.3,unweighted,0.12170750171467763,0.005,1.0,180.0,180.0,1.0,1.0
5,0.3,source,0.10831180696937648,0.015,1.0,172.75804774026744,180.0,1.4879853623327841,1.0
5,0.3,target,0.10612512056108069,0.04,1.0,180.0,164.34316123128417,1.0,1.5788045517963611
5,0.3,both,0.09335213111187127,0.25,0.0,172.75804774026744,164.34316123128417,1.4879853623327841,1.5788045517963611
5,0.3,crump,0.12170750171467763,0.005,1.0,180.0,180.0,1.0,1.0
5,0.3,overlap,0.12081544794605856,0.005,1.0,179.52302619978246,177.94789964735602,0.24999997645985683,0.2499999868991457
5,0.45,unweighted,0.1396204751562262,0.005,1.0,180.0,180.0,1.0,1.0
5,0.45,source,0.12529612070585555,0.005,1.0,172.75804774026744,180.0,1.4879853623327841,1.0
5,0.45,target,0.1257740642150178,0.005,1.0,180.0,164.34316123128417,1.0,1.5788045517963611
5,0.45,both,0.11178500682055886,0.005,1.0,172.75804774026744,164.34316123128417,1.4879853623327841,1.5788045517963611
5,0.45,crump,0.1396204751562262,0.005,1.0,180.0,180.0,1.0,1.0
5,0.45,overlap,0.13969230570309832,0.005,1.0,179.52302619978246,177.94789964735602,0.24999997645985683,0.2499999868991457
5,0.6,unweighted,0.15733087086572167,0.005,1.0,180.0,180.0,1.0,1.0
5,0.6,source,0.1428461323082768,0.005,1.0,172.75804774026744,180.0,1.4879853623327841,1.0
5,0.6,target,0.1455164271775377,0.005,1.0,180.0,164.34316123128417,1.0,1.5788045517963611
5,0.6,both,0.1310859123299448,0.005,1.0,172.75804774026744,164.34316123128417,1.4879853623327841,1.5788045517963611
